student_no,raw_score,exam_round,year,grade,student_id
2330040,75.0,1,2021,中2,1261
2330059,91.0,1,2021,中2,1343
2330091,87.0,1,2021,中2,1264
2330130,79.0,1,2021,中2,1345
2330148,88.0,1,2021,中2,1303
2330156,91.0,1,2021,中2,1346
2330199,94.0,1,2021,中2,1306
2330202,89.0,1,2021,中2,1307
2330210,87.0,1,2021,中2,1347
2330245,76.0,1,2021,中2,1309
2330253,78.0,1,2021,中2,1349
2330288,74.0,1,2021,中2,1269
2330318,84.0,1,2021,中2,1351
2330342,90.0,1,2021,中2,1271
2330423,93.0,1,2021,中2,1314
2330458,91.0,1,2021,中2,1315
2330466,82.0,1,2021,中2,1354
2330482,77.0,1,2021,中2,1355
2330547,78.0,1,2021,中2,1280
2330563,,1,2021,中2,1281
2330571,89.0,1,2021,中2,1282
2330601,80.0,1,2021,中2,1283
2330610,71.0,1,2021,中2,1317
2330687,79.0,1,2021,中2,1286
2330709,79.0,1,2021,中2,1321
2330792,70.0,1,2021,中2,1365
2330822,96.0,1,2021,中2,1289
2330830,69.0,1,2021,中2,1367
2330865,81.0,1,2021,中2,1369
2330873,81.0,1,2021,中2,1290
2330890,73.0,1,2021,中2,1291
2330938,95.0,1,2021,中2,1330
2330946,86.0,1,2021,中2,1371
2330954,80.0,1,2021,中2,1332
2331055,89.0,1,2021,中2,1376
2331063,71.0,1,2021,中2,1335
2331080,50.0,1,2021,中2,1377
2331128,92.0,1,2021,中2,1337
2331160,85.0,1,2021,中2,1298
2331187,94.0,1,2021,中2,1300
2330016,73.0,1,2021,中2,1341
2330024,83.0,1,2021,中2,1342
2330032,77.0,1,2021,中2,1301
2330067,96.0,1,2021,中2,1262
2330075,60.0,1,2021,中2,1263
2330083,75.0,1,2021,中2,1344
2330121,83.0,1,2021,中2,1266
2330180,90.0,1,2021,中2,1305
2330237,75.0,1,2021,中2,1308
2330261,80.0,1,2021,中2,1268
2330270,68.0,1,2021,中2,1310
2330326,75.0,1,2021,中2,1352
2330334,52.0,1,2021,中2,1311
2330385,91.0,1,2021,中2,1313
2330393,71.0,1,2021,中2,1273
2330415,78.0,1,2021,中2,1275
2330440,81.0,1,2021,中2,1277
2330474,71.0,1,2021,中2,1278
2330490,56.0,1,2021,中2,1356
2330504,84.0,1,2021,中2,1316
2330580,79.0,1,2021,中2,1360
2330636,97.0,1,2021,中2,1284
2330628,,1,2021,中2,1318
2330660,96.0,1,2021,中2,1285
2330717,74.0,1,2021,中2,1322
2330768,95.0,1,2021,中2,1325
2330733,49.0,1,2021,中2,1323
2330776,79.0,1,2021,中2,1288
2330784,81.0,1,2021,中2,1326
2330857,78.0,1,2021,中2,1368
2330881,79.0,1,2021,中2,1370
2330970,85.0,1,2021,中2,1373
2330989,88.0,1,2021,中2,1293
2330997,77.0,1,2021,中2,1294
2331039,71.0,1,2021,中2,1334
2331047,72.0,1,2021,中2,1375
2331071,98.0,1,2021,中2,1296
2331110,97.0,1,2021,中2,1297
2331136,78.0,1,2021,中2,1379
2331179,77.0,1,2021,中2,1299
2330105,77.0,1,2021,中2,1302
2330113,78.0,1,2021,中2,1265
2330164,94.0,1,2021,中2,1267
2330172,94.0,1,2021,中2,1304
2330229,77.0,1,2021,中2,1348
2330296,71.0,1,2021,中2,1350
2330300,79.0,1,2021,中2,1270
2330350,75.0,1,2021,中2,1312
2330369,82.0,1,2021,中2,1272
2330377,74.0,1,2021,中2,1353
2330407,73.0,1,2021,中2,1274
2330431,91.0,1,2021,中2,1276
2330512,,1,2021,中2,1357
2330520,96.0,1,2021,中2,1358
2330539,87.0,1,2021,中2,1279
2330555,80.0,1,2021,中2,1359
2330598,83.0,1,2021,中2,1361
2330644,87.0,1,2021,中2,1319
